Date,nom_ar,nom_fr,unite,valeur
2025-12-16 05:00:00,Vitesse du vent,Vitesse du vent,m/s,2.74
2025-12-16 05:00:00,Direction du vent,Direction du vent,Deg,180.6
2025-12-16 05:00:00,Température,Température,°c,13.3
2025-12-16 05:00:00,Humidité relative,Humidité relative,%,100.0
2025-12-16 05:00:00,Point de Rosée,Point de Rosée,°c,13.3
2025-12-16 05:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2025-12-16 05:00:00,Pression atmosphérique,Pression atmosphérique,hPa,982.8
2025-12-16 05:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-12-16 05:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.52
2025-12-16 03:00:00,Direction du vent,Direction du vent,Deg,249.9
2025-12-16 03:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.52
2025-12-16 03:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-12-16 03:00:00,Pression atmosphérique,Pression atmosphérique,hPa,983.8
2025-12-16 03:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2025-12-16 03:00:00,Point de Rosée,Point de Rosée,°c,13.2
2025-12-16 03:00:00,Humidité relative,Humidité relative,%,98.5
2025-12-16 03:00:00,Température,Température,°c,13.5
2025-12-16 03:00:00,Vitesse du vent,Vitesse du vent,m/s,0.5
2025-12-16 01:00:00,Direction du vent,Direction du vent,Deg,258.1
2025-12-16 01:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.52
2025-12-16 01:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-12-16 01:00:00,Pression atmosphérique,Pression atmosphérique,hPa,985.2
2025-12-16 01:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2025-12-16 01:00:00,Point de Rosée,Point de Rosée,°c,13.7
2025-12-16 01:00:00,Humidité relative,Humidité relative,%,97.7
2025-12-16 01:00:00,Température,Température,°c,14.1
2025-12-16 01:00:00,Vitesse du vent,Vitesse du vent,m/s,0.34
2025-12-15 23:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2025-12-15 23:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,1.19
2025-12-15 23:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-12-15 23:00:00,Pression atmosphérique,Pression atmosphérique,hPa,986.3
2025-12-15 23:00:00,Point de Rosée,Point de Rosée,°c,14.5
2025-12-15 23:00:00,Humidité relative,Humidité relative,%,100.0
2025-12-15 23:00:00,Température,Température,°c,14.5
2025-12-15 23:00:00,Direction du vent,Direction du vent,Deg,186.6
2025-12-15 23:00:00,Vitesse du vent,Vitesse du vent,m/s,0.68
2025-12-15 21:00:00,Vitesse du vent,Vitesse du vent,m/s,0.75
2025-12-15 21:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,1.19
2025-12-15 21:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-12-15 21:00:00,Pression atmosphérique,Pression atmosphérique,hPa,986.7
2025-12-15 21:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2025-12-15 21:00:00,Point de Rosée,Point de Rosée,°c,14.4
2025-12-15 21:00:00,Humidité relative,Humidité relative,%,100.0
2025-12-15 21:00:00,Température,Température,°c,14.4
2025-12-15 21:00:00,Direction du vent,Direction du vent,Deg,197.1
2025-12-15 19:00:00,Direction du vent,Direction du vent,Deg,192.1
2025-12-15 19:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,1.19
2025-12-15 19:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-12-15 19:00:00,Pression atmosphérique,Pression atmosphérique,hPa,987.1
2025-12-15 19:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2025-12-15 19:00:00,Point de Rosée,Point de Rosée,°c,14.2
2025-12-15 19:00:00,Humidité relative,Humidité relative,%,100.0
2025-12-15 19:00:00,Température,Température,°c,14.2
2025-12-15 19:00:00,Vitesse du vent,Vitesse du vent,m/s,0.71
2025-12-15 13:00:00,Température,Température,°c,16.1
2025-12-15 13:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,1.19
2025-12-15 13:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-12-15 13:00:00,Pression atmosphérique,Pression atmosphérique,hPa,988.8
2025-12-15 13:00:00,Vitesse du vent,Vitesse du vent,m/s,1.72
2025-12-15 13:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,84.0
2025-12-15 13:00:00,Point de Rosée,Point de Rosée,°c,13.7
2025-12-15 13:00:00,Humidité relative,Humidité relative,%,85.9
2025-12-15 13:00:00,Direction du vent,Direction du vent,Deg,180.4
2025-12-15 11:00:00,Vitesse du vent,Vitesse du vent,m/s,1.71
2025-12-15 11:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,1.19
2025-12-15 11:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-12-15 11:00:00,Pression atmosphérique,Pression atmosphérique,hPa,990.4
2025-12-15 11:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,113.0
2025-12-15 11:00:00,Point de Rosée,Point de Rosée,°c,14.9
2025-12-15 11:00:00,Humidité relative,Humidité relative,%,98.1
2025-12-15 11:00:00,Température,Température,°c,15.2
2025-12-15 11:00:00,Direction du vent,Direction du vent,Deg,169.3
2025-12-15 07:00:00,Vitesse du vent,Vitesse du vent,m/s,1.62
2025-12-15 07:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,1.19
2025-12-15 07:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-12-15 07:00:00,Pression atmosphérique,Pression atmosphérique,hPa,990.4
