Date,nom_ar,nom_fr,unite,valeur
2025-12-16 05:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,7.2
2025-12-16 05:00:00,L'humidité du sol,L'humidité du sol,mV,561.7
2025-12-16 05:00:00,Température,Température,°c,14.3
2025-12-16 03:00:00,Température,Température,°c,14.7
2025-12-16 03:00:00,L'humidité du sol,L'humidité du sol,mV,561.6
2025-12-16 03:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,7.2
2025-12-16 01:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,7.2
2025-12-16 01:00:00,L'humidité du sol,L'humidité du sol,mV,561.7
2025-12-16 01:00:00,Température,Température,°c,14.9
2025-12-15 23:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,7.2
2025-12-15 23:00:00,L'humidité du sol,L'humidité du sol,mV,562.0
2025-12-15 23:00:00,Température,Température,°c,15.1
2025-12-15 21:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,7.2
2025-12-15 21:00:00,L'humidité du sol,L'humidité du sol,mV,562.3
2025-12-15 21:00:00,Température,Température,°c,15.2
2025-12-15 19:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,7.2
2025-12-15 19:00:00,L'humidité du sol,L'humidité du sol,mV,562.5
2025-12-15 19:00:00,Température,Température,°c,15.4
2025-12-15 13:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,7.2
2025-12-15 13:00:00,L'humidité du sol,L'humidité du sol,mV,562.6
2025-12-15 13:00:00,Température,Température,°c,15.5
2025-12-15 11:00:00,Température,Température,°c,14.9
2025-12-15 11:00:00,L'humidité du sol,L'humidité du sol,mV,562.3
2025-12-15 11:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,7.2
2025-12-15 07:00:00,L'humidité du sol,L'humidité du sol,mV,561.7
2025-12-15 07:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,7.2
2025-12-15 07:00:00,Température,Température,°c,14.6
2025-12-15 05:00:00,Température,Température,°c,14.8
2025-12-15 05:00:00,L'humidité du sol,L'humidité du sol,mV,561.9
2025-12-15 05:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,7.2
2025-12-15 03:00:00,Température,Température,°c,15.0
2025-12-15 03:00:00,L'humidité du sol,L'humidité du sol,mV,562.2
2025-12-15 03:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,7.2
2025-12-15 01:00:00,L'humidité du sol,L'humidité du sol,mV,562.3
2025-12-15 01:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,7.2
2025-12-15 01:00:00,Température,Température,°c,15.2
2025-12-14 23:00:00,L'humidité du sol,L'humidité du sol,mV,562.7
2025-12-14 23:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,7.2
2025-12-14 23:00:00,Température,Température,°c,15.3
2025-12-14 21:00:00,L'humidité du sol,L'humidité du sol,mV,562.7
2025-12-14 21:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,7.2
2025-12-14 21:00:00,Température,Température,°c,15.5
2025-12-14 19:00:00,L'humidité du sol,L'humidité du sol,mV,563.1
2025-12-14 19:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,7.2
2025-12-14 19:00:00,Température,Température,°c,15.9
2025-12-14 17:00:00,L'humidité du sol,L'humidité du sol,mV,563.9
2025-12-14 17:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,7.3
2025-12-14 17:00:00,Température,Température,°c,16.7
2025-12-14 15:00:00,Température,Température,°c,16.4
2025-12-14 15:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,7.3
2025-12-14 15:00:00,L'humidité du sol,L'humidité du sol,mV,563.8
2025-12-14 13:00:00,Température,Température,°c,15.2
2025-12-14 13:00:00,L'humidité du sol,L'humidité du sol,mV,563.1
2025-12-14 13:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,7.2
2025-12-14 11:00:00,L'humidité du sol,L'humidité du sol,mV,561.4
2025-12-14 11:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,7.2
2025-12-14 11:00:00,Température,Température,°c,13.3
2025-12-14 09:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,7.1
2025-12-14 09:00:00,Température,Température,°c,12.4
2025-12-14 09:00:00,L'humidité du sol,L'humidité du sol,mV,560.7
2025-12-14 07:00:00,Température,Température,°c,12.5
2025-12-14 07:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,7.1
2025-12-14 07:00:00,L'humidité du sol,L'humidité du sol,mV,560.4
2025-12-14 05:00:00,L'humidité du sol,L'humidité du sol,mV,560.8
2025-12-14 05:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,7.1
2025-12-14 05:00:00,Température,Température,°c,12.6
2025-12-14 03:00:00,L'humidité du sol,L'humidité du sol,mV,560.9
2025-12-14 03:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,7.1
2025-12-14 03:00:00,Température,Température,°c,13.0
2025-12-14 01:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,7.2
2025-12-14 01:00:00,Température,Température,°c,13.7
2025-12-14 01:00:00,L'humidité du sol,L'humidité du sol,mV,561.4
2025-12-13 23:00:00,Température,Température,°c,14.4
2025-12-13 23:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,7.2
2025-12-13 23:00:00,L'humidité du sol,L'humidité du sol,mV,562.2
2025-12-13 21:00:00,L'humidité du sol,L'humidité du sol,mV,563.0
2025-12-13 21:00:00,Température,Température,°c,15.4
2025-12-13 21:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,7.2
2025-12-13 19:00:00,Température,Température,°c,15.9
2025-12-13 19:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,7.3
2025-12-13 19:00:00,L'humidité du sol,L'humidité du sol,mV,563.7
2025-12-13 17:00:00,L'humidité du sol,L'humidité du sol,mV,564.1
2025-12-13 17:00:00,Température,Température,°c,16.5
2025-12-13 17:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,7.3
2025-12-13 15:00:00,Température,Température,°c,16.3
2025-12-13 15:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,7.3
2025-12-13 15:00:00,L'humidité du sol,L'humidité du sol,mV,564.3
2025-12-13 13:00:00,Température,Température,°c,15.2
2025-12-13 13:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,7.2
2025-12-13 13:00:00,L'humidité du sol,L'humidité du sol,mV,563.3
2025-12-13 11:00:00,Température,Température,°c,13.7
2025-12-13 11:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,7.2
2025-12-13 11:00:00,L'humidité du sol,L'humidité du sol,mV,562.0
2025-12-13 09:00:00,Température,Température,°c,12.7
2025-12-13 09:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,7.2
2025-12-13 09:00:00,L'humidité du sol,L'humidité du sol,mV,561.2
2025-12-13 07:00:00,Température,Température,°c,12.9
2025-12-13 07:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,7.2
2025-12-13 07:00:00,L'humidité du sol,L'humidité du sol,mV,561.3
2025-12-13 05:00:00,Température,Température,°c,13.4
2025-12-13 05:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,7.2
2025-12-13 05:00:00,L'humidité du sol,L'humidité du sol,mV,561.7
2025-12-13 03:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,7.2
2025-12-13 03:00:00,L'humidité du sol,L'humidité du sol,mV,562.0
2025-12-13 03:00:00,Température,Température,°c,13.7
2025-12-13 01:00:00,L'humidité du sol,L'humidité du sol,mV,562.1
2025-12-13 01:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,7.2
2025-12-13 01:00:00,Température,Température,°c,13.9
2025-12-12 23:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,7.2
2025-12-12 23:00:00,Température,Température,°c,14.1
2025-12-12 23:00:00,L'humidité du sol,L'humidité du sol,mV,562.0
2025-12-12 21:00:00,Température,Température,°c,14.4
2025-12-12 21:00:00,L'humidité du sol,L'humidité du sol,mV,562.6
2025-12-12 21:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,7.2
2025-12-12 19:00:00,L'humidité du sol,L'humidité du sol,mV,563.4
2025-12-12 19:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,7.2
2025-12-12 19:00:00,Température,Température,°c,15.0
2025-12-12 17:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,7.3
2025-12-12 17:00:00,Température,Température,°c,15.8
2025-12-12 17:00:00,L'humidité du sol,L'humidité du sol,mV,563.9
2025-12-12 15:00:00,L'humidité du sol,L'humidité du sol,mV,563.7
2025-12-12 15:00:00,Température,Température,°c,15.3
2025-12-12 15:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,7.3
2025-12-12 13:00:00,L'humidité du sol,L'humidité du sol,mV,562.7
2025-12-12 13:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,7.2
2025-12-12 13:00:00,Température,Température,°c,13.9
2025-12-12 11:00:00,L'humidité du sol,L'humidité du sol,mV,561.3
2025-12-12 11:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,7.2
2025-12-12 11:00:00,Température,Température,°c,12.1
2025-12-12 07:00:00,L'humidité du sol,L'humidité du sol,mV,560.4
2025-12-12 07:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,7.1
2025-12-12 07:00:00,Température,Température,°c,11.5
2025-12-12 05:00:00,L'humidité du sol,L'humidité du sol,mV,560.7
2025-12-12 05:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,7.1
2025-12-12 05:00:00,Température,Température,°c,11.9
2025-12-12 03:00:00,L'humidité du sol,L'humidité du sol,mV,560.7
2025-12-12 03:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,7.1
2025-12-12 03:00:00,Température,Température,°c,11.9
2025-12-12 01:00:00,Température,Température,°c,12.5
2025-12-12 01:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,7.2
2025-12-12 01:00:00,L'humidité du sol,L'humidité du sol,mV,561.4
2025-12-11 23:00:00,L'humidité du sol,L'humidité du sol,mV,561.7
2025-12-11 23:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,7.2
2025-12-11 23:00:00,Température,Température,°c,12.9
2025-12-11 21:00:00,Température,Température,°c,13.4
2025-12-11 21:00:00,L'humidité du sol,L'humidité du sol,mV,562.2
2025-12-11 21:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,7.2
2025-12-11 19:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,7.2
2025-12-11 19:00:00,L'humidité du sol,L'humidité du sol,mV,562.7
2025-12-11 19:00:00,Température,Température,°c,14.3
2025-12-11 17:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,7.3
2025-12-11 17:00:00,L'humidité du sol,L'humidité du sol,mV,564.0
2025-12-11 17:00:00,Température,Température,°c,15.3
2025-12-11 15:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,7.3
2025-12-11 15:00:00,L'humidité du sol,L'humidité du sol,mV,563.7
2025-12-11 15:00:00,Température,Température,°c,14.6
2025-12-11 13:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,7.2
2025-12-11 13:00:00,L'humidité du sol,L'humidité du sol,mV,562.1
2025-12-11 13:00:00,Température,Température,°c,13.1
2025-12-11 11:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,7.1
2025-12-11 11:00:00,L'humidité du sol,L'humidité du sol,mV,561.0
2025-12-11 11:00:00,Température,Température,°c,11.3
2025-12-11 09:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,7.1
2025-12-11 09:00:00,L'humidité du sol,L'humidité du sol,mV,560.2
2025-12-11 09:00:00,Température,Température,°c,10.5
2025-12-11 03:00:00,L'humidité du sol,L'humidité du sol,mV,560.9
2025-12-11 03:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,7.1
2025-12-11 03:00:00,Température,Température,°c,11.7
2025-12-11 01:00:00,L'humidité du sol,L'humidité du sol,mV,561.2
2025-12-11 01:00:00,Température,Température,°c,12.2
2025-12-11 01:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,7.2
2025-12-10 23:00:00,L'humidité du sol,L'humidité du sol,mV,561.9
2025-12-10 23:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,7.2
2025-12-10 23:00:00,Température,Température,°c,12.8
2025-12-10 21:00:00,L'humidité du sol,L'humidité du sol,mV,562.5
2025-12-10 21:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,7.2
2025-12-10 21:00:00,Température,Température,°c,13.8
2025-12-10 17:00:00,L'humidité du sol,L'humidité du sol,mV,564.9
2025-12-10 17:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,7.3
2025-12-10 17:00:00,Température,Température,°c,16.0
2025-12-10 15:00:00,L'humidité du sol,L'humidité du sol,mV,564.7
2025-12-10 15:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,7.3
