Date,nom_ar,nom_fr,unite,valeur
2025-12-16 03:00:00,Pluie Totale,Pluie Totale,mm,1017.0
2025-12-16 03:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-12-16 03:00:00,Pluie quotidienne,Pluie quotidienne,mm,0.6
2025-12-16 01:00:00,Pluie quotidienne,Pluie quotidienne,mm,0.2
2025-12-16 01:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,2.4
2025-12-16 01:00:00,Pluie Totale,Pluie Totale,mm,1016.6
2025-12-12 23:00:00,Pluie Totale,Pluie Totale,mm,1015.8
2025-12-12 23:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,2.4
2025-12-12 23:00:00,Pluie quotidienne,Pluie quotidienne,mm,0.8
2025-12-04 05:00:00,Pluie Totale,Pluie Totale,mm,1015.0
2025-12-04 05:00:00,Pluie quotidienne,Pluie quotidienne,mm,0.2
2025-12-04 05:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
