jour,depth,hum_moy
2025-12-03,10cm,194.55833333333334
2025-12-04,10cm,194.86666666666667
2025-12-05,10cm,194.73
2025-12-06,10cm,194.56666666666666
2025-12-07,10cm,195.5638888888889
2025-12-08,10cm,195.5
2025-12-09,10cm,194.86666666666667
2025-12-10,10cm,194.31666666666666
2025-12-11,10cm,194.03
2025-12-12,10cm,194.25151515151515
2025-12-13,10cm,194.76666666666668
2025-12-14,10cm,194.54444444444445
2025-12-15,10cm,194.82592592592593
2025-12-16,10cm,194.5
2025-12-03,30cm,200.8138888888889
2025-12-04,30cm,201.06666666666666
2025-12-05,30cm,201.10666666666665
2025-12-06,30cm,201.1
2025-12-07,30cm,201.55
2025-12-08,30cm,201.9361111111111
2025-12-09,30cm,201.79999999999998
2025-12-10,30cm,201.65
2025-12-11,30cm,201.33666666666667
2025-12-12,30cm,201.36363636363637
2025-12-13,30cm,201.70277777777778
2025-12-14,30cm,201.7888888888889
2025-12-15,30cm,202.12962962962962
2025-12-16,30cm,202.16666666666669
